dir	p	OR	CILow	CIHigh	up_total	down_total	up_overlap	down_overlap	all_total	overlap_total	Tissue	Cluster	Name	Clade	file
Up	0.00000009700431713389	1.95332379828493	1.52319928318281	2.49672940607534	280	670	112	244	95130	24207	DH	1	Ogc	Glia	intersect_1_H3K4me3_P0_forebrain.bed
Down	0.000000000392419749499691	1.67812203599381	1.42685630570321	1.97008642881671	280	670	112	244	95130	24207	DH	1	Ogc	Glia	intersect_1_H3K4me3_P0_forebrain.bed
Up	0.358812959408533	0.908669552152459	0.740734651709265	1.10661531809153	808	888	118	123	169709	26880	DH	2	DG.Card6.1	ExN	intersect_2_H3K4me3_P0_forebrain.bed
Down	0.106860573929673	0.854341118463956	0.700073928840976	1.03525765604571	808	888	118	123	169709	26880	DH	2	DG.Card6.1	ExN	intersect_2_H3K4me3_P0_forebrain.bed
Up	0.0000243556349274541	0.660507271144208	0.535889566157446	0.807298677519332	971	690	109	89	166396	26737	DH	3	DG.Card6.2	ExN	intersect_3_H3K4me3_P0_forebrain.bed
Down	0.0222368645591218	0.77352226827223	0.611797268309653	0.968171203233978	971	690	109	89	166396	26737	DH	3	DG.Card6.2	ExN	intersect_3_H3K4me3_P0_forebrain.bed
Up	0.930889204552762	1.00565022358185	0.843197126491047	1.19291103282649	1079	787	157	63	186705	27036	DH	4	CA1	ExN	intersect_4_H3K4me3_P0_forebrain.bed
Down	0.0000000459654307838843	0.513904834244473	0.390632321987209	0.665625625327045	1079	787	157	63	186705	27036	DH	4	CA1	ExN	intersect_4_H3K4me3_P0_forebrain.bed
Up	0.887090545901593	1.0106578544235	0.833648709585794	1.21785575998457	796	767	136	83	156444	26495	DH	5	DG.Penk	ExN	intersect_5_H3K4me3_P0_forebrain.bed
Down	0.00000258843948741228	0.595160974516481	0.467873718692545	0.748638796291043	796	767	136	83	156444	26495	DH	5	DG.Penk	ExN	intersect_5_H3K4me3_P0_forebrain.bed
Up	0.0000992863269198254	0.695330493012744	0.570620626601731	0.8409278682521	1109	729	121	119	183960	27549	DH	6	Inh	InN	intersect_6_H3K4me3_P0_forebrain.bed
Down	0.29878162338825	1.10762145450656	0.901925893005226	1.35060325963233	1109	729	121	119	183960	27549	DH	6	Inh	InN	intersect_6_H3K4me3_P0_forebrain.bed
Up	0.00000000000000000000186771422248471	2.0396758833747	1.76949478030185	2.34565850505564	1020	719	278	64	174031	27007	DH	7	Sub_Ent	ExN	intersect_7_H3K4me3_P0_forebrain.bed
Down	0.000000212007899272651	0.531928958340616	0.404751196858089	0.688557538997923	1020	719	278	64	174031	27007	DH	7	Sub_Ent	ExN	intersect_7_H3K4me3_P0_forebrain.bed
Up	0.000292058729620711	1.50932524129785	1.20411443592491	1.88192321397467	394	801	116	218	119613	25906	DH	8	Asc	Glia	intersect_8_H3K4me3_P0_forebrain.bed
Down	0.000211633526552262	1.3525653047276	1.15158577842504	1.58394151137676	394	801	116	218	119613	25906	DH	8	Asc	Glia	intersect_8_H3K4me3_P0_forebrain.bed
Up	0.930082822562745	0.985955787635047	0.823937431855948	1.1731774152881	1055	817	151	77	187318	27137	DH	9	CA2-3	ExN	intersect_9_H3K4me3_P0_forebrain.bed
Down	0.0000173911072863166	0.61420027062709	0.479086635691346	0.777766036149137	1055	817	151	77	187318	27137	DH	9	CA2-3	ExN	intersect_9_H3K4me3_P0_forebrain.bed
Up	0.00000000000000000000000000000000000000000000000000000000000453066846541729	4.52210658385608	3.74647060430946	5.47261550830906	488	298	310	102	79968	22234	DH	10	Mcg	Immune	intersect_10_H3K4me3_P0_forebrain.bed
Down	0.0163980985224449	1.35131426521429	1.05254747479233	1.72616095212813	488	298	310	102	79968	22234	DH	10	Mcg	Immune	intersect_10_H3K4me3_P0_forebrain.bed
Up	0.0116832401190131	1.32673485503589	1.05951371105733	1.64914061076183	508	1125	105	286	163428	26826	DH	11	Choroid_Plexus	Glia	intersect_11_H3K4me3_P0_forebrain.bed
Down	0.0000000000000227778005450102	1.73581177466132	1.51148766387744	1.98881181724901	508	1125	105	286	163428	26826	DH	11	Choroid_Plexus	Glia	intersect_11_H3K4me3_P0_forebrain.bed
Up	0.00000000000000000000000000000000000952744686546794	3.6873521790312	2.99386100645621	4.54823508670285	379	579	215	202	95959	25168	DH	12	Opc	Glia	intersect_12_H3K4me3_P0_forebrain.bed
Down	0.00000506457693498671	1.50708311120622	1.26318649417362	1.79383268910835	379	579	215	202	95959	25168	DH	12	Opc	Glia	intersect_12_H3K4me3_P0_forebrain.bed
Up	0.000075923678926787	2.38132813105661	1.50585184398075	3.89095736344741	108	146	83	133	25507	14853	DH	13	Endo	Glia	intersect_13_H3K4me3_P0_forebrain.bed
Down	0.00000000000000000225622099276179	7.33656812686384	4.14431821046179	14.1532060156304	108	146	83	133	25507	14853	DH	13	Endo	Glia	intersect_13_H3K4me3_P0_forebrain.bed
Up	0.0000000000123039928861357	2.4246625358269	1.84878864930903	3.20303425392533	254	134	174	86	38904	18396	DH	14	Pericytes	Glia	intersect_14_H3K4me3_P0_forebrain.bed
Down	0.000120001672334767	1.99731082256378	1.38636805417998	2.90735245435921	254	134	174	86	38904	18396	DH	14	Pericytes	Glia	intersect_14_H3K4me3_P0_forebrain.bed
Up	0.000306224366613855	2.12465467890283	1.38118188272068	3.35631314080072	117	125	88	115	24510	14416	DH	15	SMC	Glia	intersect_15_H3K4me3_P0_forebrain.bed
Down	0.000000000000000174814375164668	8.05317008052761	4.22075311243601	17.2501341536681	117	125	88	115	24510	14416	DH	15	SMC	Glia	intersect_15_H3K4me3_P0_forebrain.bed
Up	0.00817453937058461	0.76558537080218	0.620537052844983	0.936604531396672	960	1031	108	81	199242	28303	FC	1	L2-3	ExN	intersect_1_H3K4me3_P0_forebrain.bed
Down	0.000000000522667509450773	0.514958781722785	0.405101813400113	0.646844254827331	960	1031	108	81	199242	28303	FC	1	L2-3	ExN	intersect_1_H3K4me3_P0_forebrain.bed
Up	0.00000000000620092913228259	1.97497021828035	1.62957368030893	2.38640128346034	493	759	170	234	125308	26368	FC	2	Ogc	Glia	intersect_2_H3K4me3_P0_forebrain.bed
Down	0.00000000033270880932947	1.67243189068896	1.42658094714252	1.95584164094672	493	759	170	234	125308	26368	FC	2	Ogc	Glia	intersect_2_H3K4me3_P0_forebrain.bed
Up	0.335257249687529	0.908714493086851	0.748394575170779	1.09586280781213	984	1015	128	58	200022	28263	FC	3	L4	ExN	intersect_3_H3K4me3_P0_forebrain.bed
Down	0.0000000000000000184718103870313	0.368313730577116	0.277454488630492	0.480478219392553	984	1015	128	58	200022	28263	FC	3	L4	ExN	intersect_3_H3K4me3_P0_forebrain.bed
Up	0.00000921671690688365	0.664828922323314	0.545882371004864	0.803553104238461	1161	773	121	55	193564	28829	FC	4	Inh.Vip.Npy	InN	intersect_4_H3K4me3_P0_forebrain.bed
Down	0.0000000000456900081778041	0.437718070348818	0.326374096377996	0.576472323647366	1161	773	121	55	193564	28829	FC	4	Inh.Vip.Npy	InN	intersect_4_H3K4me3_P0_forebrain.bed
Up	0.301120540564764	0.901270113521013	0.73916249678364	1.0919861802303	739	720	129	177	146010	27749	FC	5	Asc	Glia	intersect_5_H3K4me3_P0_forebrain.bed
Down	0.000240064982127295	1.38920448988592	1.16513893328749	1.64990609619827	739	720	129	177	146010	27749	FC	5	Asc	Glia	intersect_5_H3K4me3_P0_forebrain.bed
Up	0.000546541756669131	0.725848859884298	0.597580539204851	0.875147391865078	1209	894	124	58	210530	28639	FC	6	L5a.Deptor	ExN	intersect_6_H3K4me3_P0_forebrain.bed
Down	0.0000000000148071142012088	0.440631375831919	0.331560241104318	0.575552413649873	1209	894	124	58	210530	28639	FC	6	L5a.Deptor	ExN	intersect_6_H3K4me3_P0_forebrain.bed
Up	0.00399282915829057	1.26992748190878	1.07683362046207	1.4924487991976	831	549	199	42	138185	27455	FC	7	Inh.Sema5a.S100a13	InN	intersect_7_H3K4me3_P0_forebrain.bed
Down	0.00000000000000316852221046886	0.334104796147602	0.237765561581159	0.458282633818108	831	549	199	42	138185	27455	FC	7	Inh.Sema5a.S100a13	InN	intersect_7_H3K4me3_P0_forebrain.bed
Up	0.000666309754759921	0.704558644800321	0.566842170194168	0.867861386144994	901	952	101	104	185436	28179	FC	8	L6	ExN	intersect_8_H3K4me3_P0_forebrain.bed
Down	0.00016577609607797	0.684421133150089	0.552625919416503	0.840189373743669	901	952	101	104	185436	28179	FC	8	L6	ExN	intersect_8_H3K4me3_P0_forebrain.bed
Up	0.00164765456733908	1.40309175969337	1.13437874132117	1.72884888687369	415	479	137	230	89535	23273	FC	9	Mgc	Immune	intersect_9_H3K4me3_P0_forebrain.bed
Down	0.000000000000000000000000774127364466984	2.62987747428732	2.18730700323731	3.16079725679244	415	479	137	230	89535	23273	FC	9	Mgc	Immune	intersect_9_H3K4me3_P0_forebrain.bed
Up	0.435636481477747	0.930017345233559	0.776064528473289	1.10812492735931	1027	792	149	132	182065	28095	FC	10	Inh.Six3.Def6	InN	intersect_10_H3K4me3_P0_forebrain.bed
Down	0.348892281136555	1.09609342302793	0.901832959731532	1.323795230394	1027	792	149	132	182065	28095	FC	10	Inh.Six3.Def6	InN	intersect_10_H3K4me3_P0_forebrain.bed
Up	0.000216280755347391	0.695681072097347	0.564887231740146	0.84971214580425	963	857	110	114	182165	28487	FC	11	Inh.Sst.Pvalb	InN	intersect_11_H3K4me3_P0_forebrain.bed
