dir	p	OR	CILow	CIHigh	up_total	down_total	up_overlap	down_overlap	all_total	overlap_total	Tissue	Cluster	Name	Clade	file
Up	0.00000136527295100141	1.82931897159991	1.42669509006021	2.33839949188161	280	670	112	243	95130	25408	DH	1	Ogc	Glia	intersect_1_H3K9ac_P0_forebrain.bed
Down	0.0000000649758622232753	1.56162012469079	1.32763360706794	1.83360905207185	280	670	112	243	95130	25408	DH	1	Ogc	Glia	intersect_1_H3K9ac_P0_forebrain.bed
Up	0.398347434510281	0.919022352560251	0.754504543078017	1.11210511895438	808	888	128	128	169709	28850	DH	2	DG.Card6.1	ExN	intersect_2_H3K9ac_P0_forebrain.bed
Down	0.0436416411715527	0.822310673878792	0.676204341157073	0.993315787287903	808	888	128	128	169709	28850	DH	2	DG.Card6.1	ExN	intersect_2_H3K9ac_P0_forebrain.bed
Up	0.000640251511316963	0.728827469201245	0.600092397174359	0.879118879747114	971	690	128	85	166396	28689	DH	3	DG.Card6.2	ExN	intersect_3_H3K9ac_P0_forebrain.bed
Down	0.000476026965450412	0.674382908708326	0.530723696626264	0.847778480104912	971	690	128	85	166396	28689	DH	3	DG.Card6.2	ExN	intersect_3_H3K9ac_P0_forebrain.bed
Up	0.555683567847099	1.04931018209576	0.886916251212148	1.23562971568364	1079	787	175	70	186705	29080	DH	4	CA1	ExN	intersect_4_H3K9ac_P0_forebrain.bed
Down	0.0000000500140920630634	0.529191221304508	0.407806581177382	0.677318028847883	1079	787	175	70	186705	29080	DH	4	CA1	ExN	intersect_4_H3K9ac_P0_forebrain.bed
Up	0.89003506463127	1.01243814593891	0.839783614504648	1.21387058591646	796	767	146	92	156444	28406	DH	5	DG.Penk	ExN	intersect_5_H3K9ac_P0_forebrain.bed
Down	0.0000048095638506529	0.614351488852311	0.488422885974046	0.765146960505388	796	767	146	92	156444	28406	DH	5	DG.Penk	ExN	intersect_5_H3K9ac_P0_forebrain.bed
Up	0.000300706895921876	0.723005664843129	0.59908949602374	0.86679946604645	1109	729	135	128	183960	29593	DH	6	Inh	InN	intersect_6_H3K9ac_P0_forebrain.bed
Down	0.288758232042231	1.11099760943325	0.910317426412501	1.34723810895674	1109	729	135	128	183960	29593	DH	6	Inh	InN	intersect_6_H3K9ac_P0_forebrain.bed
Up	0.0000000000000000000115819064333448	1.98811446703469	1.72815557262791	2.28238345334921	1020	719	290	73	174031	28984	DH	7	Sub_Ent	ExN	intersect_7_H3K9ac_P0_forebrain.bed
Down	0.00000100889846300663	0.565515157085882	0.437561364396894	0.721472340319051	1020	719	290	73	174031	28984	DH	7	Sub_Ent	ExN	intersect_7_H3K9ac_P0_forebrain.bed
Up	0.000248579966559386	1.51063095582428	1.2100975928547	1.87704831575838	394	801	123	228	119613	27635	DH	8	Asc	Glia	intersect_8_H3K9ac_P0_forebrain.bed
Down	0.000475586985095181	1.32435225501828	1.13020327694436	1.54763354215798	394	801	123	228	119613	27635	DH	8	Asc	Glia	intersect_8_H3K9ac_P0_forebrain.bed
Up	0.551193122852691	1.04973693172463	0.885481454951698	1.23841765418564	1055	817	171	75	187318	29147	DH	9	CA2-3	ExN	intersect_9_H3K9ac_P0_forebrain.bed
Down	0.000000115524791231581	0.548520950224911	0.426503897211792	0.696531041394936	1055	817	171	75	187318	29147	DH	9	CA2-3	ExN	intersect_9_H3K9ac_P0_forebrain.bed
Up	0.0000000000000000000000000000000000000000000000000263388624787114	3.94658396671303	3.27570828584992	4.7646961952323	488	298	300	97	79968	23024	DH	10	Mcg	Immune	intersect_10_H3K9ac_P0_forebrain.bed
Down	0.158622208898518	1.19352319342795	0.92637008064148	1.52902749542992	488	298	300	97	79968	23024	DH	10	Mcg	Immune	intersect_10_H3K9ac_P0_forebrain.bed
Up	0.0195464148210408	1.29294814456658	1.03676348458651	1.60137821835384	508	1125	110	313	163428	28782	DH	11	Choroid_Plexus	Glia	intersect_11_H3K9ac_P0_forebrain.bed
Down	0.0000000000000000382620279655197	1.80326037373824	1.57673519097165	2.05828583382383	508	1125	110	313	163428	28782	DH	11	Choroid_Plexus	Glia	intersect_11_H3K9ac_P0_forebrain.bed
Up	0.00000000000000000000000000000000000206571627685746	3.72032601538929	3.01695844678512	4.59752348047945	379	579	223	210	95959	26636	DH	12	Opc	Glia	intersect_12_H3K9ac_P0_forebrain.bed
Down	0.00000931347400552643	1.48115075269736	1.24359812749257	1.76046427438624	379	579	223	210	95959	26636	DH	12	Opc	Glia	intersect_12_H3K9ac_P0_forebrain.bed
Up	0.000178946018890019	2.24217834246331	1.42597059826186	3.63521268914806	108	146	82	133	25507	14908	DH	13	Endo	Glia	intersect_13_H3K9ac_P0_forebrain.bed
Down	0.00000000000000000250450642190594	7.27176270098235	4.10747396998327	14.0268941207976	108	146	82	133	25507	14908	DH	13	Endo	Glia	intersect_13_H3K9ac_P0_forebrain.bed
Up	0.000000000113393977344701	2.3366214894363	1.78165408046074	3.08678241060163	254	134	174	93	38904	18755	DH	14	Pericytes	Glia	intersect_14_H3K9ac_P0_forebrain.bed
Down	0.000000897333459804571	2.43684254859432	1.66935485838699	3.61222012831587	254	134	174	93	38904	18755	DH	14	Pericytes	Glia	intersect_14_H3K9ac_P0_forebrain.bed
Up	0.00122250532079809	1.95805303707813	1.27856391734632	3.07501266114568	117	125	87	115	24510	14631	DH	15	SMC	Glia	intersect_15_H3K9ac_P0_forebrain.bed
Down	0.000000000000000781438630274433	7.76572286537723	4.0698459602896	16.6372407995128	117	125	87	115	24510	14631	DH	15	SMC	Glia	intersect_15_H3K9ac_P0_forebrain.bed
Up	0.00440835707640004	0.754646388450101	0.614812717344133	0.91896780699819	960	1031	114	89	199242	30187	FC	1	L2-3	ExN	intersect_1_H3K9ac_P0_forebrain.bed
Down	0.000000000648706122413067	0.529114817600069	0.420702455490653	0.658354208347873	960	1031	114	89	199242	30187	FC	1	L2-3	ExN	intersect_1_H3K9ac_P0_forebrain.bed
Up	0.00000000121868153538597	1.82189940708476	1.50252357879585	2.20262009846297	493	759	168	230	125308	27695	FC	2	Ogc	Glia	intersect_2_H3K9ac_P0_forebrain.bed
Down	0.000000165249257409943	1.53241524992037	1.30610141830887	1.79343167743712	493	759	168	230	125308	27695	FC	2	Ogc	Glia	intersect_2_H3K9ac_P0_forebrain.bed
Up	0.347829977017421	0.914583683922223	0.757592884396296	1.09717899882298	984	1015	137	66	200022	30058	FC	3	L4	ExN	intersect_3_H3K9ac_P0_forebrain.bed
Down	0.0000000000000000842226509635031	0.393255373987482	0.301521673688173	0.505206409399948	984	1015	137	66	200022	30058	FC	3	L4	ExN	intersect_3_H3K9ac_P0_forebrain.bed
Up	0.000706214061692701	0.742731562343434	0.618783557440613	0.886003601649395	1161	773	143	59	193564	30786	FC	4	Inh.Vip.Npy	InN	intersect_4_H3K9ac_P0_forebrain.bed
Down	0.00000000000985507552198413	0.436913611749263	0.329073224025934	0.570468094500379	1161	773	143	59	193564	30786	FC	4	Inh.Vip.Npy	InN	intersect_4_H3K9ac_P0_forebrain.bed
Up	0.334507924744328	0.907836354108516	0.748623134318525	1.09456516128008	739	720	138	194	146010	29475	FC	5	Asc	Glia	intersect_5_H3K9ac_P0_forebrain.bed
Down	0.000014347562626577	1.45819930322061	1.2297680622491	1.72329389485543	739	720	138	194	146010	29475	FC	5	Asc	Glia	intersect_5_H3K9ac_P0_forebrain.bed
Up	0.0000286584260126335	0.684344836670584	0.564245206261061	0.824006540699396	1209	894	126	66	210530	30591	FC	6	L5a.Deptor	ExN	intersect_6_H3K9ac_P0_forebrain.bed
Down	0.0000000000712807060452071	0.468865144926879	0.359098755968743	0.603095003369686	1209	894	126	66	210530	30591	FC	6	L5a.Deptor	ExN	intersect_6_H3K9ac_P0_forebrain.bed
Up	0.00325523943717278	1.2709773135649	1.08140544708666	1.48906829903482	831	549	211	48	138185	29186	FC	7	Inh.Sema5a.S100a13	InN	intersect_7_H3K9ac_P0_forebrain.bed
Down	0.0000000000000091672738392646	0.357804751955698	0.260269560393998	0.481868600509019	831	549	211	48	138185	29186	FC	7	Inh.Sema5a.S100a13	InN	intersect_7_H3K9ac_P0_forebrain.bed
Up	0.00000109757015782082	0.60421064611729	0.482518518239149	0.749152056584995	901	952	94	121	185436	29971	FC	8	L6	ExN	intersect_8_H3K9ac_P0_forebrain.bed
Down	0.00352434115376123	0.755295471620836	0.618636086614203	0.915374627942773	901	952	94	121	185436	29971	FC	8	L6	ExN	intersect_8_H3K9ac_P0_forebrain.bed
Up	0.0000600476920176196	1.52242276522419	1.23618564129852	1.86911884985257	415	479	148	221	89535	23898	FC	9	Mgc	Immune	intersect_9_H3K9ac_P0_forebrain.bed
Down	0.000000000000000000138230403913648	2.35265554450924	1.95558708484001	2.82827720521587	415	479	148	221	89535	23898	FC	9	Mgc	Immune	intersect_9_H3K9ac_P0_forebrain.bed
Up	0.473161843772502	0.936566555828158	0.785852185767222	1.11036191880466	1027	792	160	144	182065	29969	FC	10	Inh.Six3.Def6	InN	intersect_10_H3K9ac_P0_forebrain.bed
Down	0.194848103983542	1.12783903585588	0.934463656189412	1.35360556947308	1027	792	160	144	182065	29969	FC	10	Inh.Six3.Def6	InN	intersect_10_H3K9ac_P0_forebrain.bed
Up	0.00000168508992689363	0.625543626178716	0.506586758478096	0.765863749403717	963	857	107	127	182165	30339	FC	11	Inh.Sst.Pvalb	InN	intersect_11_H3K9ac_P0_forebrain.bed
Down	0.154368655035109	0.870615057724436	0.715021903586427	1.05293587749371	963	857	107	127	182165	30339	FC	11	Inh.Sst.Pvalb	InN	intersect_11_H3K9ac_P0_forebrain.bed
Up	0.0208632953976761	0.764546860999606	0.602119853920515	0.960377196850139	720	1295	85	191	201630	30042	FC	12	Claustrum	ExN	intersect_12_H3K9ac_P0_forebrain.bed
Down	0.906544283634369	0.988148408274183	0.842556541643069	1.15381660222312	720	1295	85	191	201630	30042	FC	12	Claustrum	ExN	intersect_12_H3K9ac_P0_forebrain.bed
Up	0.00000000147463600334221	1.70345366761017	1.43408681152615	2.01819319791021	630	686	205	232	132553	29251	FC	13	Opc	Glia	intersect_13_H3K9ac_P0_forebrain.bed
Down	0.00000000000224972657953487	1.80466081467298	1.53311310385521	2.11972754829087	630	686	205	232	132553	29251	FC	13	Opc	Glia	intersect_13_H3K9ac_P0_forebrain.bed
Up	0.00540558342841665	0.682466840229134	0.510373320181759	0.897685724017563	544	1473	58	222	201880	30048	FC	14	L5.Parm1	ExN	intersect_14_H3K9ac_P0_forebrain.bed
Down	0.825612580665835	1.01480953090396	0.875361336387722	1.17207084683837	544	1473	58	222	201880	30048	FC	14	L5.Parm1	ExN	intersect_14_H3K9ac_P0_forebrain.bed
Up	0.0443027771132397	0.622889628304918	0.387114115270875	0.99121632298042	81	231	33	187	31388	16468	FC	15	Endo	Glia	intersect_15_H3K9ac_P0_forebrain.bed
Down	0.000000000000000000277383377693535	3.85018801474192	2.75746043236941	5.48086250807293	81	231	33	187	31388	16468	FC	15	Endo	Glia	intersect_15_H3K9ac_P0_forebrain.bed
Up	0.050904704520861	1.3505124585092	0.987281484344207	1.84490022654683	171	366	81	235	53838	21530	FC	16	Peri	Glia	intersect_16_H3K9ac_P0_forebrain.bed
Down	0.0000000000000000000169723028466173	2.6918813545804	2.16305984861347	3.36156519174039	171	366	81	235	53838	21530	FC	16	Peri	Glia	intersect_16_H3K9ac_P0_forebrain.bed
Up	0.269311885486213	1.17066263134278	0.873768382513589	1.55162461872768	267	954	67	348	122257	27202	FC	17	L5b.Fezf2	ExN	intersect_17_H3K9ac_P0_forebrain.bed
Down	0.0000000000000000000000406013350645453	2.00676423482643	1.75253004462768	2.29496196057348	267	954	67	348	122257	27202	FC	17	L5b.Fezf2	ExN	intersect_17_H3K9ac_P0_forebrain.bed
Up	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134219656357623	13.9687557107839	9.86457645597634	20.3645106855741	419	70	384	47	49087	21592	FC	18	Inh.Lrrc38.Plcxd3.Prok2	InN	intersect_18_H3K9ac_P0_forebrain.bed
Down	0.000146192293256337	2.60210021722589	1.54809013153097	4.4912217674254	419	70	384	47	49087	21592	FC	18	Inh.Lrrc38.Plcxd3.Prok2	InN	intersect_18_H3K9ac_P0_forebrain.bed
Up	0.0000000000000000295366215722694	0.371105740856535	0.280415311778382	0.48306402147386	844	662	60	77	150726	25769	HT	1	CM	Muscle	intersect_1_H3K9ac_P0_heart.bed
Down	0.000122384188716008	0.638264695935796	0.49639057316392	0.810930913623254	844	662	60	77	150726	25769	HT	1	CM	Muscle	intersect_1_H3K9ac_P0_heart.bed
Up	0.0000290139088131332	0.598716386807078	0.457523540586178	0.772887344812985	568	758	68	56	132869	24595	HT	2	FB	Other	intersect_2_H3K9ac_P0_heart.bed
Down	0.00000000000000000353559340810022	0.351177759957289	0.262473904725329	0.461599932210632	568	758	68	56	132869	24595	HT	2	FB	Other	intersect_2_H3K9ac_P0_heart.bed
Up	0.000000000000000000000000000547500660937982	2.18457144121493	1.90835292818541	2.49628411166819	1055	464	320	100	152061	25269	HT	3	Endo	Other	intersect_3_H3K9ac_P0_heart.bed
Down	0.00590373741250838	1.37848107631882	1.09306469970183	1.72507669776095	1055	464	320	100	152061	25269	HT	3	Endo	Other	intersect_3_H3K9ac_P0_heart.bed
Up	0.000000000247282888965679	0.579200100624293	0.479609896124425	0.694472421920635	1424	364	130	47	178927	26448	HT	4	Low_quality	NA	intersect_4_H3K9ac_P0_heart.bed
Down	0.337144074711518	0.854790289863155	0.615182914029523	1.164358531143	1424	364	130	47	178927	26448	HT	4	Low_quality	NA	intersect_4_H3K9ac_P0_heart.bed
Up	0.000000000000000000000048622278241208	2.09373294330438	1.81621781987438	2.40873637497887	957	480	289	64	143802	24626	HT	5	Macg	Immune	intersect_5_H3K9ac_P0_heart.bed
Down	0.0286548200147495	0.744531650180244	0.56283582099279	0.97096393227673	957	480	289	64	143802	24626	HT	5	Macg	Immune	intersect_5_H3K9ac_P0_heart.bed
Up	0.00000000000000000000000000000000000000000000000271085202639175	2.94567798068002	2.55834553986115	3.38910060328431	835	411	351	37	124777	24650	HT	6	SMC	Muscle	intersect_6_H3K9ac_P0_heart.bed
Down	0.00000000375337086684572	0.40184697646705	0.278487893164204	0.564348577791007	835	411	351	37	124777	24650	HT	6	SMC	Muscle	intersect_6_H3K9ac_P0_heart.bed
Up	0.0000000000000000000000000000000000511762315580098	2.39071579495088	2.08901828232166	2.73314127221418	949	241	357	37	119177	24006	HT	7	Endo	Other	intersect_7_H3K9ac_P0_heart.bed
